@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute outputs-1 {0,1,2,3}

@data
851,'2019/01/28 16:07:49:474',8,97.067307,0.000039,93.114914,0.000004,71.306152,4.457713,0,0.004729,0.06002,0.451536,0.27306,0.013359,0.403299,0.069323,0.026639,0.05016,0.057759,0.000006,0.001216,0,0.000372,0.210873,0.424918,99.006302,0.000087,0.002331,16.940401,-21.554031,4.502581,6.960994,3.850417,192.411713,1
852,'2019/01/28 16:07:49:553',8,97.390465,0.000037,92.34687,0.000006,68.309349,3.070964,0,0.006264,0.067805,0.525889,0.302466,0.016685,0.239115,0.078568,0.020728,0.057447,0.060118,0.000006,0.000953,0,0.000346,0.207414,0.424745,98.703674,0.000089,0.002384,16.41156,-20.612854,3.902214,7.295985,4.427376,194.029419,1
853,'2019/01/28 16:07:49:684',8,97.049911,0.000027,92.3368,0.000012,58.130844,2.522929,0,0.010141,0.053183,0.614586,0.275491,0.013257,0.205748,0.097313,0.018752,0.067413,0.067499,0.000006,0.001186,0,0.000239,0.20601,0.424512,97.352783,0.000089,0.002382,16.403202,-17.545258,4.533056,6.238605,5.529932,190.772995,1
854,'2019/01/28 16:07:49:782',8,97.693039,0.000025,89.748451,0.000023,58.28669,2.581206,0,0.015339,0.054645,0.727028,0.227561,0.008594,0.302928,0.108875,0.02089,0.069829,0.067884,0.000005,0.00181,0,0.000277,0.208747,0.424426,96.866196,0.000097,0.002537,14.705544,-17.618431,3.270514,7.51011,6.399069,190.149414,1
855,'2019/01/28 16:07:49:880',8,97.54068,0.000025,90.039948,0.000032,55.690239,1.818039,0,0.023742,0.066753,0.704188,0.148007,0.004097,0.877742,0.07214,0.021204,0.059144,0.081231,0.000006,0.001896,0,0.00025,0.209899,0.424824,96.325951,0.000096,0.002496,14.901522,-17.009132,3.598074,7.994504,6.489319,191.876617,1
856,'2019/01/28 16:07:49:954',8,97.328522,0.000021,91.367813,0.000039,45.119556,1.550111,0,0.04745,0.076176,0.585681,0.119493,0.001753,1.075902,0.04391,0.027003,0.033917,0.095353,0.000007,0.002046,0,0.000159,0.205213,0.425635,93.126213,0.000092,0.002408,15.775416,-13.890839,4.022697,7.053226,6.82977,193.042175,1
857,'2019/01/28 16:07:50:089',8,97.178391,0.000016,89.769669,0.000109,37.989227,2.523606,0,0.063691,0.060239,0.476423,0.065347,0.00109,1.280355,0.037553,0.038001,0.023804,0.098151,0.000009,0.003886,0,0.000134,0.207324,0.425885,87.897713,0.000097,0.002495,14.738078,-11.802933,4.303797,7.773154,6.811209,189.816025,1
858,'2019/01/28 16:07:50:187',8,97.794731,0.000026,88.259979,0.000088,47.137642,4.070271,0,0.064576,0.07983,0.468427,0.05047,0.000911,1.734744,0.049757,0.058682,0.032577,0.101411,0.000007,0.003115,0,0.000205,0.214897,0.425691,92.610909,0.000102,0.002574,13.8233,-14.69294,3.03989,7.648041,7.17895,190.810028,1
859,'2019/01/28 16:07:50:259',8,97.613037,0.00003,86.603142,0.000128,40.955009,3.18255,0,0.064024,0.113611,0.465437,0.043368,0.000588,2.078932,0.051416,0.074979,0.045922,0.100673,0.000006,0.003182,0,0.00018,0.205536,0.425325,87.744339,0.000108,0.002673,12.876685,-12.955231,3.445053,6.809803,6.903443,191.986633,1
860,'2019/01/28 16:07:50:465',8,97.57579,0.00003,83.807014,0.000127,41.153797,3.623602,0,0.036028,0.110298,0.464948,0.048818,0.000358,1.219225,0.06935,0.093234,0.071006,0.115022,0.000008,0.003295,0,0.000208,0.199146,0.424734,85.605652,0.000118,0.002904,11.393456,-12.763214,3.524395,6.509247,6.66559,193.058014,1
