@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute outputs-1 {0,1,2,3}

@data
25,'2019/01/24 11:06:21:986',1,96.811409,0.000009,2.476224,0.009803,0.013239,0.413095,0,99.970695,1.628554,0.024297,0.011656,0.000126,9.873858,0.733712,1.463779,0.000046,0.048113,0.000031,0.001121,0.000002,0.122118,89.709076,0.426209,0.190625,0.001688,0.021323,0.229399,-3.449776,-4.934078,4.773876,1.235035,161.456085,1
26,'2019/01/24 11:06:22:074',1,91.557327,0.000036,2.191062,0.01789,0.011134,0.279554,0,99.965599,1.524339,0.026154,0.00989,0.000137,3.049067,0.5175,1.348936,0.000089,0.050964,0.000104,0.002355,0.000002,0.111169,52.564049,0.4262,0.114803,0.001705,0.023892,0.225483,-1.366035,-10.081668,4.31416,2.500861,161.335052,1
27,'2019/01/24 11:06:22:177',1,88.998787,0.000084,2.502171,0.021943,0.009652,0.124957,0,99.969254,1.689812,0.039774,0.007525,0.000157,2.8194,0.283899,1.711005,0.000345,0.053152,0.000271,0.006537,0.000002,0.108098,19.960829,0.42611,0.115472,0.001689,0.024053,0.230168,-1.340721,-11.546914,3.020813,2.148441,157.061859,1
28,'2019/01/24 11:06:22:278',1,91.800003,0.000168,1.799371,0.01579,0.010901,0.048805,0,99.920555,1.221187,0.054235,0.005768,0.000155,2.262089,0.255411,1.563986,0.000833,0.069213,0.000404,0.019729,0.000003,0.113231,5.900419,0.42587,0.105543,0.001732,0.023914,0.2193,-1.02282,-9.922608,2.515044,2.170335,162.001175,1
29,'2019/01/24 11:06:22:375',1,95.016502,0.001337,1.106687,0.007148,0.013415,0.018617,99.810226,96.134125,0.470048,0.07384,0.00564,0.000173,4.725557,0.157727,1.011192,0.003836,0.126785,0.000589,0.056003,0.000004,0.111215,9.039916,0.425244,0.119756,0.001784,0.022117,0.207661,-1.505814,-7.260408,0.818859,1.350299,159.978073,1
30,'2019/01/24 11:06:22:454',1,97.128189,0.004127,0.334792,0.0079,0.010905,0.021808,0.029755,54.335445,0.233046,0.084424,0.010522,0.000198,6.25185,0.141819,0.934095,0.004666,0.196451,0.000476,0.034161,0.000006,0.029916,4.723388,0.426389,0.126378,0.001825,0.021623,0.198991,-1.914436,-4.394557,0.95324,1.929371,161.737289,1
31,'2019/01/24 11:06:22:548',1,98.61422,0.002027,0.174664,0.010863,0.011574,0.016892,0.000111,6.947072,0.23567,0.108442,0.030335,0.000171,7.83574,0.131201,0.742221,0.003914,0.282621,0.000309,0.026667,0.000008,0.006388,9.795399,0.427298,0.139888,0.001836,0.021095,0.198213,-2.39595,-0.675239,0.551131,2.831895,164.099228,1
32,'2019/01/24 11:06:22:680',1,98.334999,0.001215,0.056884,0.015874,0.00672,0.023594,0.000031,0.202267,0.172377,0.105855,0.071874,0.000151,9.828519,0.092588,0.736103,0.001963,0.270694,0.000088,0.016632,0.000008,0.005325,8.651646,0.427541,0.159903,0.00184,0.020401,0.196582,-2.980408,1.607217,0.173805,2.417713,164.446671,1
33,'2019/01/24 11:06:22:780',1,97.552765,0.000611,0.034616,0.033014,0.003038,0.050901,0.000041,0.037915,0.293529,0.102241,0.174298,0.000153,19.090839,0.08446,0.754509,0.001178,0.27864,0.000043,0.006401,0.000009,0.006159,19.584929,0.427938,0.308919,0.001838,0.017641,0.197155,-5.797287,3.57282,-0.671114,2.505195,162.946579,1
34,'2019/01/24 11:06:22:879',1,97.251724,0.000393,0.037495,0.032533,0.00233,0.105354,0.000008,0.060529,0.557301,0.082317,0.156497,0.00017,46.907017,0.08583,0.897972,0.001209,0.224287,0.000039,0.006192,0.000006,0.00969,47.671299,0.427587,2.210329,0.001836,0.011314,0.198265,-14.221413,4.168364,-0.922535,2.072381,161.248611,1
35,'2019/01/24 11:06:22:977',1,94.61084,0.000568,0.02471,0.049022,0.001277,0.235965,0.000133,0.110188,2.772296,0.051677,0.184052,0.000171,58.297176,0.102317,0.923543,0.000673,0.233914,0.000053,0.004681,0.000005,0.010708,57.659214,0.427846,4.847546,0.001837,0.010848,0.211812,-18.297455,7.673081,-1.701943,1.51662,161.616257,1
36,'2019/01/24 11:06:23:098',1,92.030525,0.000475,0.039216,0.037867,0.001619,0.777615,0.000003,0.214319,6.69869,0.034489,0.149104,0.000204,62.599445,0.13737,0.96036,0.000947,0.207041,0.000074,0.002794,0.000004,0.009796,91.932449,0.427736,6.484776,0.001834,0.013127,0.238114,-20.772598,9.767495,-1.284902,0.554113,163.11142,1
37,'2019/01/24 11:06:23:176',1,93.885551,0.000519,0.044501,0.019929,0.00128,1.486329,0.000001,0.211733,8.552187,0.018831,0.094286,0.000232,53.947037,0.132496,0.70212,0.000831,0.167196,0.000084,0.001711,0.000002,0.007848,97.108643,0.427368,3.604355,0.001832,0.017179,0.251311,-18.741081,8.342898,-1.787095,0.484365,161.331512,1
38,'2019/01/24 11:06:23:257',1,94.902794,0.000922,0.039421,0.011934,0.001117,2.581805,0,0.159134,16.326708,0.013303,0.077066,0.000293,62.892914,0.128984,0.69778,0.001005,0.11512,0.000077,0.000938,0.000002,0.00658,98.278496,0.426977,6.613151,0.001831,0.024897,0.316289,-23.76133,7.379192,-3.034073,-0.708802,160.85434,1
39,'2019/01/24 11:06:23:375',1,94.982056,0.001361,0.037815,0.009494,0.001131,2.899966,0.000121,0.06877,16.69202,0.011347,0.055121,0.000276,55.763817,0.127435,0.707114,0.000999,0.102673,0.000069,0.000817,0.000002,0.005738,98.538681,0.426878,4.081532,0.00183,0.028743,0.31955,-21.733414,7.29666,-2.952984,-0.075783,161.002457,1
40,'2019/01/24 11:06:23:483',1,93.450653,0.001502,0.036676,0.004541,0.001053,2.619926,0,0.019289,24.335691,0.0083,0.033627,0.000396,46.594727,0.206529,1.020083,0.001448,0.06642,0.000064,0.000315,0.000001,0.003576,98.624718,0.426574,2.162501,0.001829,0.0558,0.4009,-21.278503,8.709657,-4.384256,1.138616,162.758041,1
41,'2019/01/24 11:06:23:561',1,94.309593,0.000919,0.032204,0.012776,0.000531,1.45192,0.000001,0.015609,34.912693,0.006835,0.033258,0.000574,42.660923,0.2306,0.914425,0.001472,0.068819,0.000061,0.000402,0.000001,0.002156,98.522514,0.426623,1.640953,0.001829,0.12052,0.54974,-23.267883,7.961001,-5.491896,0.241995,162.43132,1
42,'2019/01/24 11:06:23:657',1,95.308014,0.000903,0.035672,0.021454,0.000271,0.837555,0.000002,0.017797,51.435608,0.006577,0.056443,0.000607,39.768276,0.253244,0.660768,0.001674,0.067116,0.000058,0.000444,0.000001,0.001032,98.318535,0.426683,1.339064,0.001829,0.379526,0.899383,-27.353447,6.943708,-4.977682,1.222,164.936584,1
43,'2019/01/24 11:06:23:781',1,98.478554,0.000612,0.037297,0.052821,0.000229,0.457007,0.000031,0.017134,45.718849,0.007232,0.049575,0.000538,46.77927,0.309385,0.556528,0.00165,0.073952,0.00007,0.001229,0.000002,0.001471,97.515137,0.426769,2.190662,0.00183,0.230927,0.75902,-27.728241,1.149126,-4.488588,1.687323,163.731232,1
44,'2019/01/24 11:06:23:880',1,98.679092,0.000827,0.019419,0.115446,0.000355,0.299034,0.000003,0.011713,55.556618,0.00752,0.064307,0.000377,53.89254,0.352512,0.391256,0.002404,0.097898,0.000093,0.002598,0.000004,0.0011,93.119484,0.426979,3.584656,0.001832,0.394381,1.017117,-32.787354,-0.432244,-5.678077,1.661319,162.07341,1
45,'2019/01/24 11:06:23:980',1,97.944687,0.001101,0.017956,0.123887,0.000696,0.353521,0,0.010259,53.592999,0.006719,0.060261,0.000301,69.2817,0.275919,0.364245,0.005168,0.10116,0.000109,0.004386,0.000006,0.001543,87.151459,0.426972,10.039159,0.001833,0.267996,0.959544,-36.810829,-2.680127,-7.068852,1.666057,159.108475,1
46,'2019/01/24 11:06:24:079',1,98.035332,0.00141,0.015319,0.289411,0.001055,0.320073,0,0.018882,52.703796,0.006032,0.100433,0.000167,74.916885,0.241709,0.23938,0.007365,0.11107,0.000111,0.009251,0.000009,0.001759,76.678589,0.427037,14.300452,0.001834,0.229878,0.934795,-38.164318,-2.449983,-5.066046,1.970936,160.750443,1
47,'2019/01/24 11:06:24:181',1,96.405045,0.002701,0.032739,0.093082,0.003525,0.260609,0,0.027774,43.887611,0.007574,0.092611,0.000101,65.245476,0.388951,0.205521,0.015039,0.164448,0.000133,0.013551,0.000021,0.00216,31.337217,0.427134,7.726313,0.001836,0.149794,0.721396,-32.695671,-5.554869,-4.584404,2.550986,162.315063,1
48,'2019/01/24 11:06:24:277',1,93.843987,0.005661,0.090714,0.076342,0.02281,0.429468,0,0.23692,30.733776,0.011277,0.04173,0.000076,38.411522,0.413301,0.210492,0.030035,0.260934,0.000176,0.024879,0.000045,0.002399,3.440985,0.427316,1.221624,0.001839,0.096994,0.490761,-20.705887,-8.378977,-6.527881,3.80128,160.242218,1
49,'2019/01/24 11:06:24:375',1,92.047188,0.009728,0.34045,0.054586,0.08477,0.448394,0,7.433531,33.054878,0.014656,0.033958,0.000067,14.058824,0.511249,0.172089,0.068449,0.325295,0.00021,0.025337,0.000088,0.001825,1.360913,0.427088,0.220606,0.001826,0.168309,0.533946,-14.136017,-9.756125,-5.172866,3.580351,160.003601,1
50,'2019/01/24 11:06:24:470',1,84.451218,0.011453,5.148386,0.049726,0.161152,0.148278,0,89.353531,10.538362,0.020904,0.016929,0.000036,1.877052,0.409328,0.161629,0.078274,0.364407,0.000428,0.039313,0.000185,0.044895,0.535324,0.427454,0.130397,0.001565,0.040713,0.346795,-3.741013,-13.539042,-5.140864,4.515749,156.96376,1
51,'2019/01/24 11:06:24:581',1,63.198513,0.013312,26.033043,0.067597,0.229134,0.078281,0,99.736374,3.446229,0.030268,0.007024,0.000016,0.434466,0.337397,0.213274,0.115478,0.359202,0.000984,0.071637,0.000213,0.026415,0.296816,0.42674,0.520809,0.000794,0.015386,0.792642,-1.173523,-19.296288,-6.539134,6.84376,155.225647,1
52,'2019/01/24 11:06:24:681',1,43.245907,0.011336,66.10894,0.578345,0.069785,0.063794,0,99.988129,0.546271,0.051952,0.004243,0.000016,0.128172,0.213842,0.356952,0.070233,0.462092,0.004509,0.175304,0.000256,0.003258,0.302803,0.429765,8.410902,0.000218,0.004635,5.175703,0.156509,-23.359127,-5.891273,6.944075,151.980835,1
53,'2019/01/24 11:06:24:783',1,45.714764,0.0085,82.672569,1.689222,0.022111,0.027543,0,99.99633,0.195375,0.06945,0.00335,0.000021,0.07572,0.16778,0.36123,0.076172,0.570986,0.009083,0.239457,0.000255,0.00132,0.355305,0.435291,23.202911,0.000128,0.002971,11.053129,0.797098,-22.859156,-4.086506,8.156904,153.652206,1
54,'2019/01/24 11:06:24:880',1,45.245159,0.006531,91.89135,3.857357,0.00508,0.021781,0,99.992516,0.04519,0.116903,0.001966,0.000027,0.057978,0.115064,0.466592,0.047133,0.67714,0.015243,0.404503,0.000171,0.00079,0.351592,0.44771,37.032524,0.000098,0.002304,16.465435,1.891145,-22.95385,-2.831518,7.947245,153.137375,1
55,'2019/01/24 11:06:24:967',1,65.827576,0.013447,88.567467,2.493524,0.006048,0.032838,0,99.964226,0.052562,0.201937,0.002322,0.000022,0.197095,0.144337,0.391275,0.037573,0.699321,0.008104,0.336349,0.00016,0.000955,0.319742,0.466864,31.720253,0.000108,0.00251,14.314793,1.237594,-18.721901,-2.915153,5.554105,158.074799,1
56,'2019/01/24 11:06:25:079',1,91.039429,0.025264,78.184113,0.846918,0.007617,0.117345,0.000002,99.90638,0.061811,0.23824,0.002822,0.000018,3.583207,0.281771,0.418749,0.042335,0.854868,0.003907,0.288917,0.000235,0.001792,0.458507,0.474852,21.377253,0.000151,0.003073,9.095856,-0.490471,-10.407705,-9.685232,2.990561,161.210907,1
57,'2019/01/24 11:06:25:196',1,96.994339,0.061236,48.536285,0.410676,0.011413,0.480931,0.000051,96.972343,0.110562,0.197535,0.002946,0.000021,71.176743,0.442789,0.578665,0.076394,0.740182,0.001654,0.19808,0.000217,0.025797,0.717921,0.501984,80.346199,0.00039,0.002123,2.209125,-21.069504,-4.62922,-13.797745,3.328596,161.523804,1
58,'2019/01/24 11:06:25:280',1,98.765579,0.215322,9.464252,0.132118,0.0145,1.403458,0.000004,40.64645,0.811233,0.173697,0.004138,0.000026,95.835831,0.597808,0.5689,0.10365,0.738643,0.002521,0.157989,0.000189,0.050433,0.432845,0.548491,59.353004,0.001376,0.003971,0.32297,-28.884697,-0.089248,-19.212481,3.42858,166.112289,1
