@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute outputs-1 {0,1,2,3}

@data
2326,'2019/01/28 19:15:31:395',18,98.369179,0.000012,13.262246,0.413552,4.85107,97.687943,0,97.452919,41.81551,0.135964,0.137107,0.000013,78.193298,1.298978,38.728676,26.039501,23.782951,0.019717,100,0.000366,0.000055,0.000107,0.000173,99.921013,99.573448,0.000028,3.689131,54.720127,-1.501783,-1.273212,0.874099,160.373672,1
2325,'2019/01/28 19:15:31:226',18,98.315712,0.000013,29.061949,0.023748,3.246304,94.296532,0,97.37809,57.066704,0.166135,0.10816,0.000177,94.383537,0.876512,3.330824,44.513248,14.874887,0.003234,99.999763,0.000252,0.000015,0.000107,0.000044,99.921013,99.162285,0.00004,8.199593,40.235191,-1.665819,-1.998495,1.353973,157.066513,1
2324,'2019/01/28 19:15:31:065',18,98.070496,0.000038,44.127007,0.001133,0.372498,40.524231,0,97.133316,60.56044,0.236566,0.075088,0.001946,78.190735,0.497146,0.191088,8.83884,11.601267,0.002099,98.882713,0.000562,0.000004,0.00013,0.000458,99.907349,98.26812,0.000099,15.384173,54.491703,-2.357873,-0.380494,2.073742,157.952728,1
2323,'2019/01/28 19:15:30:895',18,97.800728,0.000074,37.770721,0.000129,0.067768,1.308059,0.000001,98.674911,57.753307,0.408796,0.052584,0.018017,26.033089,0.224782,0.010684,1.171765,12.070753,0.000217,2.865157,0.002094,0.001757,8.875573,0.407384,7.008124,0.001058,0.154111,11.049594,-22.656364,-3.02596,-1.196666,1.055776,157.611618,1
2322,'2019/01/28 19:15:30:725',18,97.704048,0.000118,49.414505,0.000064,0.025146,0.021997,0,99.984322,67.004883,0.756069,0.021308,0.174532,1.499861,0.111047,0.001201,0.095786,14.671293,0.000033,0.001849,0.00287,0.000528,0.19877,0.551913,7.140535,0.000474,0.36365,24.807085,-20.709488,-3.246028,0.488197,2.009458,159.863251,1
2321,'2019/01/28 19:15:30:564',18,98.012802,0.000098,41.004009,0.000318,0.012702,0.00232,0,99.999359,49.090561,1.038065,0.009845,0.650949,0.169622,0.173906,0.000308,0.047889,14.40022,0.000054,0.000092,0.005536,0.001731,0.193264,0.551048,3.97184,0.000621,0.142368,11.114697,-15.254501,-2.508127,0.285307,2.046438,157.948334,1
2320,'2019/01/28 19:15:30:394',18,97.833717,0.000126,26.886803,0.001404,0.018527,0.000699,0,99.999954,50.722374,1.100209,0.005049,0.683021,0.067096,0.139414,0.00031,0.059734,12.696578,0.000056,0.000062,0.007201,0.003511,0.193214,0.533977,1.318409,0.000956,0.239431,5.664442,-15.741478,-2.948732,0.561709,0.278703,157.927002,1
2319,'2019/01/28 19:15:30:222',18,98.154106,0.000083,16.926216,0.004784,0.017296,0.00055,0,99.999916,46.68787,1.520819,0.00172,0.988969,0.064734,0.081644,0.000198,0.064784,11.628075,0.000033,0.000039,0.010068,0.007182,0.193308,0.523677,0.604017,0.001299,0.245053,2.989264,-14.745804,-2.132126,-0.561014,0.117688,161.548203,1
2318,'2019/01/28 19:15:30:081',18,97.96933,0.00011,3.888933,0.00124,0.01113,0.002353,0,99.949348,46.328007,1.341738,0.001701,0.532809,0.029691,0.128549,0.000298,0.084657,8.247479,0.000024,0.000033,0.008828,0.014896,0.193993,0.491928,0.187743,0.001871,0.366404,1.345865,-14.312943,-2.618569,-0.705986,0.441547,162.134995,1
2317,'2019/01/28 19:15:29:890',18,97.951073,0.000448,0.234675,0.000403,0.015024,0.00509,0,52.307194,23.586897,1.321832,0.005584,0.403838,0.012813,0.100611,0.000237,0.070788,9.894803,0.000017,0.00004,0.009085,0.009598,0.194464,0.507272,0.162711,0.002173,0.083451,0.614825,-7.39283,-2.664253,-1.583393,1.51113,163.003036,1
